"","dataset","Method","Correlation","heritability","no_QTN","x_ordered","dataset_ordered"
"1","train","mas_glm",0.712154342915391,"0.25","10","10","train"
"2","train","mas_glm",0.571673423053147,"0.25","10","10","train"
"3","train","mas_glm",0.591242612928365,"0.25","10","10","train"
"4","train","mas_glm",0.548371919661237,"0.25","10","10","train"
"5","train","mas_glm",0.523369149261717,"0.25","10","10","train"
"6","train","mas_glm",0.75147660297267,"0.25","10","10","train"
"7","train","mas_glm",0.526918151725382,"0.25","10","10","train"
"8","train","mas_glm",0.80289696269165,"0.25","10","10","train"
"9","train","mas_glm",0.282812443586203,"0.25","10","10","train"
"10","train","mas_glm",0.202760563637341,"0.25","10","10","train"
"11","train","mas_glm",0.714883138438469,"0.25","10","10","train"
"12","train","mas_glm",0.550502894692803,"0.25","10","10","train"
"13","train","mas_glm",0.484373862780008,"0.25","10","10","train"
"14","train","mas_glm",0.506962647339792,"0.25","10","10","train"
"15","train","mas_glm",0.49712347235168,"0.25","10","10","train"
"16","train","mas_glm",0.705522395945068,"0.25","10","10","train"
"17","train","mas_glm",0.531393438438102,"0.25","10","10","train"
"18","train","mas_glm",0.633472014038522,"0.25","10","10","train"
"19","train","mas_glm",0.70700649948682,"0.25","10","10","train"
"20","train","mas_glm",0.511901443572441,"0.25","10","10","train"
"21","train","mas_glm",0.620382386922213,"0.25","10","10","train"
"22","train","mas_glm",0.769592144472362,"0.25","10","10","train"
"23","train","mas_glm",0.484530188482393,"0.25","10","10","train"
"24","train","mas_glm",0.798419907079495,"0.25","10","10","train"
"25","train","mas_glm",0.390498747413585,"0.25","10","10","train"
"26","train","mas_glm",0.111793685931534,"0.25","10","10","train"
"27","train","mas_glm",0.578116614634878,"0.25","10","10","train"
"28","train","mas_glm",0.543094834439821,"0.25","10","10","train"
"29","train","mas_glm",0.42392990966772,"0.25","10","10","train"
"30","train","mas_glm",0.747276018104854,"0.25","10","10","train"
"31","test","mas_glm",0.650449480079101,"0.25","10","10","test"
