"","heritablity","no_QTN","dataset","Method","correlation","sd","x_ordered","dataset_ordered"
"1","0.25","10","train","mas_glm",0.625023459632301,0.0760892989477605,"10","train"
"2","0.25","10","test","mas_glm",0.607739223965208,0.125106395619344,"10","test"
"3","0.25","10","train","mas_gblup",0.537542519334412,0.260204985816193,"10","train"
"4","0.25","10","test","mas_gblup",0.489382198922871,0.261475022695829,"10","test"
"5","0.25","10","train","gs",0.496153327490493,0.0113255985608201,"10","train"
"6","0.25","10","test","gs",0.623462616140564,0.0874949398269718,"10","test"
"7","0.25","10","train","svm",0.613096776660491,0.0977563593762707,"10","train"
"8","0.25","10","test","svm",0.684180746678083,0.173502216167752,"10","test"
"9","0.25","25","train","mas_glm",0.232513502963086,0.155381540214507,"25","train"
"10","0.25","25","test","mas_glm",0.352715072857848,0.134063857586776,"25","test"
"11","0.25","25","train","mas_gblup",0.247950454301848,0.163914662116696,"25","train"
"12","0.25","25","test","mas_gblup",0.471530793052821,0.104048014792955,"25","test"
"13","0.25","25","train","gs",0.162995245295153,0.194460310071367,"25","train"
"14","0.25","25","test","gs",0.502067644082529,0.115361557069876,"25","test"
"15","0.25","25","train","svm",0.353596568433024,0.156791261997675,"25","train"
"16","0.25","25","test","svm",0.491379104122367,0.0348663229194036,"25","test"
"17","0.25","50","train","mas_glm",0.313368467988343,0.0722707730815286,"50","train"
"18","0.25","50","test","mas_glm",0.352533541093517,0.125434820499453,"50","test"
"19","0.25","50","train","mas_gblup",0.202030670987887,0.179786797756502,"50","train"
"20","0.25","50","test","mas_gblup",0.343376174355094,0.0214129497354361,"50","test"
"21","0.25","50","train","gs",0.335661379968128,0.165508886017658,"50","train"
"22","0.25","50","test","gs",0.270725208839219,0.112099096009384,"50","test"
"23","0.25","50","train","svm",0.255863403081028,0.0454448665075734,"50","train"
"24","0.25","50","test","svm",0.298094220172864,0.049079759947008,"50","test"
"25","0.25","100","train","mas_glm",0.316090382761094,0.10139342272864,"100","train"
"26","0.25","100","test","mas_glm",0.211894662252004,0.175753460085939,"100","test"
"27","0.25","100","train","mas_gblup",0.160639130601352,0.0834196203500108,"100","train"
"28","0.25","100","test","mas_gblup",0.357197476807661,0.155865421528001,"100","test"
"29","0.25","100","train","gs",0.164004647919629,0.141341146752417,"100","train"
"30","0.25","100","test","gs",0.35149794262445,0.0373689535051027,"100","test"
"31","0.25","100","train","svm",0.288821070055174,0.0428440408973056,"100","train"
"32","0.25","100","test","svm",0.107573499817945,0.0996791913474676,"100","test"
"33","0.25","500","train","mas_glm",0.312858653276502,0.297114399418789,"500","train"
"34","0.25","500","test","mas_glm",0.205428116191742,0.108735676924373,"500","test"
"35","0.25","500","train","mas_gblup",0.212300672295762,0.15997763566872,"500","train"
"36","0.25","500","test","mas_gblup",0.187099221157127,0.074040258282463,"500","test"
"37","0.25","500","train","gs",0.165076827898567,0.166531678717722,"500","train"
"38","0.25","500","test","gs",0.29570388132943,0.154305951724346,"500","test"
"39","0.25","500","train","svm",0.281731396495868,0.110906127500431,"500","train"
"40","0.25","500","test","svm",0.203360687807218,0.220178284819986,"500","test"
"41","0.50","10","train","mas_glm",0.822458174947341,0.123485021806121,"10","train"
"42","0.50","10","test","mas_glm",0.734957871506833,0.10859372487286,"10","test"
"43","0.50","10","train","mas_gblup",0.90335979668156,0.0175645926765937,"10","train"
"44","0.50","10","test","mas_gblup",0.887278483018472,0.0845586905589226,"10","test"
"45","0.50","10","train","gs",0.760245187101139,0.0809725083166114,"10","train"
"46","0.50","10","test","gs",0.813333598909509,0.095627571316743,"10","test"
"47","0.50","10","train","svm",0.81839247597734,0.0878470220966337,"10","train"
"48","0.50","10","test","svm",0.861094106221457,0.0617883690657916,"10","test"
"49","0.50","25","train","mas_glm",0.645418067715787,0.0447366677786638,"25","train"
